cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
31,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
32,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
33,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
34,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
35,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
36,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
37,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
38,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
39,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
40,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
41,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
42,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
43,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
44,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
45,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
46,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
47,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
48,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
49,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
50,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
51,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
52,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
53,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
54,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
55,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
56,Ponte Presidente Dutra,PR,Curitiba,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22
57,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
58,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
59,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
60,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
61,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
62,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
63,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
64,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
65,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
66,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
67,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
68,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
69,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
70,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
71,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
72,Ponte Do Guaíba,MG,Belo Horizonte,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21
73,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
74,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
75,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
76,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
77,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
78,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
79,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
80,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
81,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
82,Ponte Do Jaguaribe,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20
83,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
84,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
85,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
86,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
87,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
88,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
89,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
90,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
91,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
92,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
93,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
94,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
95,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
96,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
97,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
98,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
99,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
100,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
101,Ponte Marechal Mascarenhas de Moraes,PA,Belém,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28
102,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
103,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
104,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
105,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
106,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
107,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
108,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
109,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
110,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
111,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
112,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
113,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
114,Ponte Do Guaíba,MT,Cuiabá,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27
115,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
116,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
117,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
118,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
119,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
120,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
121,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
122,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
123,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
124,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
125,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
126,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
127,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
128,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
129,Ponte Governador Alencar,MS,Campo Grande,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21
