cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
68,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
69,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
70,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
71,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
72,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
73,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
74,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
75,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
76,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
77,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
78,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
79,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
80,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
81,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
82,Ponte Do Jaguaribe,CE,Aracati,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,20.0
83,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
84,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
85,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
86,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
87,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
88,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
89,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
90,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
91,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
92,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
93,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
94,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
95,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
96,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
97,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
98,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
99,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
100,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
101,Ponte Marechal Mascarenhas de Moraes,PE,Recife,Neutro,Neutro,Concordo Totalmente,Neutro,Discordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,28.0
102,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
103,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
104,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
105,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
106,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
107,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
108,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
109,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
110,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
111,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
112,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
113,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
114,Ponte Do Guaíba,RS,Porto Alegre,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Discordo,Neutro,Discordo Totalmente,Neutro,27.0
115,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
116,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
117,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
118,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
119,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
120,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
121,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
122,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
123,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
124,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
125,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
126,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
127,Ponte Governador Alencar,BA,Salvador,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Discordo,21.0
